test_case,iteration,latency_sec,status
fake_1,1,0.3094363212585449,200
fake_1,2,0.24493861198425293,200
fake_1,3,0.24419784545898438,200
fake_1,4,0.27787184715270996,200
fake_1,5,0.24122381210327148,200
fake_1,6,0.27185678482055664,200
fake_1,7,0.2453463077545166,200
fake_1,8,0.26771116256713867,200
fake_1,9,0.26304197311401367,200
fake_1,10,0.2734708786010742,200
fake_1,11,0.2438061237335205,200
fake_1,12,0.2605273723602295,200
fake_1,13,0.24105453491210938,200
fake_1,14,0.24652361869812012,200
fake_1,15,0.2495572566986084,200
fake_1,16,0.32726216316223145,200
fake_1,17,0.388592004776001,200
fake_1,18,0.24836277961730957,200
fake_1,19,0.26458740234375,200
fake_1,20,0.2702622413635254,200
fake_2,1,0.27479100227355957,200
fake_2,2,0.24166440963745117,200
fake_2,3,0.27407193183898926,200
fake_2,4,0.24267268180847168,200
fake_2,5,0.2470722198486328,200
fake_2,6,0.24591612815856934,200
fake_2,7,0.24533987045288086,200
fake_2,8,0.2428896427154541,200
fake_2,9,0.24867963790893555,200
fake_2,10,0.2394564151763916,200
fake_2,11,0.242462158203125,200
fake_2,12,0.24910354614257812,200
fake_2,13,0.24678444862365723,200
fake_2,14,0.2406907081604004,200
fake_2,15,0.24748682975769043,200
fake_2,16,0.2436234951019287,200
fake_2,17,0.2780725955963135,200
fake_2,18,0.24910712242126465,200
fake_2,19,0.2519652843475342,200
fake_2,20,0.24187421798706055,200
real_1,1,0.2460498809814453,200
real_1,2,0.244645357131958,200
real_1,3,0.24521946907043457,200
real_1,4,0.23987865447998047,200
real_1,5,0.23983979225158691,200
real_1,6,0.2546219825744629,200
real_1,7,0.24578046798706055,200
real_1,8,0.24886655807495117,200
real_1,9,0.24155735969543457,200
real_1,10,0.24670982360839844,200
real_1,11,0.2424604892730713,200
real_1,12,0.27351832389831543,200
real_1,13,0.24858522415161133,200
real_1,14,0.245941162109375,200
real_1,15,0.24376797676086426,200
real_1,16,0.24494218826293945,200
real_1,17,0.24304580688476562,200
real_1,18,0.241715669631958,200
real_1,19,0.24223828315734863,200
real_1,20,0.2644972801208496,200
real_2,1,0.27340269088745117,200
real_2,2,0.24161314964294434,200
real_2,3,0.27387189865112305,200
real_2,4,0.24238920211791992,200
real_2,5,0.24276947975158691,200
real_2,6,0.25316476821899414,200
real_2,7,0.27327871322631836,200
real_2,8,0.24628448486328125,200
real_2,9,0.24194836616516113,200
real_2,10,0.2430436611175537,200
real_2,11,0.2426745891571045,200
real_2,12,0.24770140647888184,200
real_2,13,0.2416684627532959,200
real_2,14,0.24244451522827148,200
real_2,15,0.24935579299926758,200
real_2,16,0.24510502815246582,200
real_2,17,0.24567198753356934,200
real_2,18,0.24662494659423828,200
real_2,19,0.2761414051055908,200
real_2,20,0.24492430686950684,200
